Date,Open,High,Low,Close,Adj Close,Volume,Stocks_Name,Dividends,Stock splits,Company_Name
2002-07-01,4.889999866485596,5.045000076293945,4.889999866485596,5.045000076293945,4.6357293128967285,14640,JAICORPLTD,,,Jai Corp Limited
2002-07-02,5.400000095367432,5.550000190734863,5.150000095367432,5.550000190734863,5.099762439727783,21120,JAICORPLTD,,,Jai Corp Limited
2002-07-03,5.829999923706055,5.829999923706055,5.829999923706055,5.829999923706055,5.357047080993652,26600,JAICORPLTD,,,Jai Corp Limited
2002-07-04,6.110000133514404,6.125,5.639999866485596,5.869999885559082,5.393803596496582,47920,JAICORPLTD,,,Jai Corp Limited
2002-07-05,6.074999809265137,6.164999961853027,5.800000190734863,6.164999961853027,5.664870738983154,27560,JAICORPLTD,,,Jai Corp Limited
2002-07-08,6.394999980926514,6.46999979019165,6.394999980926514,6.465000152587891,5.940532684326172,36280,JAICORPLTD,,,Jai Corp Limited
2002-07-09,6.550000190734863,6.699999809265137,6.244999885559082,6.414999961853027,5.894589424133301,39880,JAICORPLTD,,,Jai Corp Limited
2002-07-10,6.400000095367432,6.699999809265137,5.800000190734863,6.099999904632568,5.6051435470581055,31300,JAICORPLTD,,,Jai Corp Limited
2002-07-11,6.099999904632568,6.309999942779541,5.559999942779541,5.800000190734863,5.329481601715088,281520,JAICORPLTD,,,Jai Corp Limited
2002-07-12,5.809999942779541,6.099999904632568,5.800000190734863,5.965000152587891,5.481095790863037,17160,JAICORPLTD,,,Jai Corp Limited
2002-07-15,5.599999904632568,5.900000095367432,5.369999885559082,5.369999885559082,4.934363842010498,35200,JAICORPLTD,,,Jai Corp Limited
2002-07-16,4.949999809265137,5.085000038146973,4.835000038146973,4.860000133514404,4.465737819671631,34080,JAICORPLTD,,,Jai Corp Limited
2002-07-17,4.659999847412109,4.795000076293945,4.65500020980835,4.735000133514404,4.35087776184082,139120,JAICORPLTD,,,Jai Corp Limited
2002-07-18,4.800000190734863,4.900000095367432,4.760000228881836,4.900000095367432,4.502491474151611,16580,JAICORPLTD,,,Jai Corp Limited
2002-07-19,4.824999809265137,5.144999980926514,4.824999809265137,4.994999885559082,4.589785575866699,184960,JAICORPLTD,,,Jai Corp Limited
2002-07-22,4.849999904632568,4.849999904632568,4.744999885559082,4.784999847412109,4.39682149887085,16860,JAICORPLTD,,,Jai Corp Limited
2002-07-23,4.800000190734863,4.849999904632568,4.784999847412109,4.829999923706055,4.438170909881592,3720,JAICORPLTD,,,Jai Corp Limited
2002-07-24,4.800000190734863,4.800000190734863,4.699999809265137,4.699999809265137,4.3187174797058105,7120,JAICORPLTD,,,Jai Corp Limited
2002-07-25,4.5,4.704999923706055,4.5,4.5,4.134941101074219,11120,JAICORPLTD,,,Jai Corp Limited
2002-07-26,4.5,4.5,4.5,4.5,4.134941101074219,0,JAICORPLTD,,,Jai Corp Limited
2002-07-29,4.400000095367432,4.400000095367432,4.300000190734863,4.300000190734863,3.95116662979126,1760,JAICORPLTD,,,Jai Corp Limited
2002-07-30,4.210000038146973,4.230000019073486,4.085000038146973,4.085000038146973,3.753608226776123,22480,JAICORPLTD,,,Jai Corp Limited
2002-07-31,4.0,4.0,3.900000095367432,3.900000095367432,3.5836167335510254,2000,JAICORPLTD,,,Jai Corp Limited
2002-08-01,3.859999895095825,3.859999895095825,3.704999923706055,3.714999914169312,3.413624286651612,14300,JAICORPLTD,,,Jai Corp Limited
2002-08-02,3.690000057220459,3.75,3.5299999713897705,3.539999961853028,3.252821207046509,3680,JAICORPLTD,,,Jai Corp Limited
2002-08-05,3.700000047683716,3.7200000286102295,3.700000047683716,3.7200000286102295,3.41821813583374,6320,JAICORPLTD,,,Jai Corp Limited
2002-08-06,3.8450000286102295,3.910000085830689,3.75,3.759999990463257,3.4549734592437744,16080,JAICORPLTD,,,Jai Corp Limited
2002-08-07,3.910000085830689,3.950000047683716,3.910000085830689,3.950000047683716,3.629560232162476,9800,JAICORPLTD,,,Jai Corp Limited
2002-08-08,3.7899999618530273,4.135000228881836,3.7799999713897705,3.829999923706055,3.5192949771881104,15320,JAICORPLTD,,,Jai Corp Limited
2002-08-09,3.815000057220459,4.0,3.700000047683716,3.924999952316284,3.606588363647461,10960,JAICORPLTD,,,Jai Corp Limited
2002-08-12,4.074999809265137,4.074999809265137,3.619999885559082,3.964999914169312,3.643343210220337,3720,JAICORPLTD,,,Jai Corp Limited
2002-08-13,3.724999904632568,3.724999904632568,3.724999904632568,3.724999904632568,3.422812938690185,500,JAICORPLTD,,,Jai Corp Limited
2002-08-14,3.809999942779541,3.984999895095825,3.809999942779541,3.934999942779541,3.6157772541046143,1800,JAICORPLTD,,,Jai Corp Limited
2002-08-15,3.934999942779541,3.934999942779541,3.934999942779541,3.934999942779541,3.6157772541046143,0,JAICORPLTD,,,Jai Corp Limited
2002-08-16,3.934999942779541,3.934999942779541,3.934999942779541,3.934999942779541,3.6157772541046143,0,JAICORPLTD,,,Jai Corp Limited
2002-08-19,4.045000076293945,4.050000190734863,3.714999914169312,3.724999904632568,3.422812938690185,6200,JAICORPLTD,,,Jai Corp Limited
2002-08-20,3.450000047683716,3.684999942779541,3.450000047683716,3.595000028610229,3.303359031677246,10780,JAICORPLTD,,,Jai Corp Limited
2002-08-21,3.5999999046325684,3.785000085830689,3.5999999046325684,3.714999914169312,3.413624286651612,1900,JAICORPLTD,,,Jai Corp Limited
2002-08-22,3.414999961853028,3.990000009536743,3.414999961853028,3.634999990463257,3.34011459350586,4520,JAICORPLTD,,,Jai Corp Limited
2002-08-23,3.515000104904175,3.9600000381469727,3.515000104904175,3.849999904632568,3.537672281265259,5520,JAICORPLTD,,,Jai Corp Limited
2002-08-26,3.555000066757202,3.799999952316284,3.555000066757202,3.744999885559082,3.441190481185913,2160,JAICORPLTD,,,Jai Corp Limited
2002-08-27,3.525000095367432,3.700000047683716,3.525000095367432,3.670000076293945,3.37227463722229,800,JAICORPLTD,,,Jai Corp Limited
2002-08-28,3.555000066757202,3.869999885559082,3.555000066757202,3.869999885559082,3.556049346923828,2200,JAICORPLTD,,,Jai Corp Limited
2002-08-29,3.505000114440918,3.700000047683716,3.505000114440918,3.525000095367432,3.2390379905700684,9040,JAICORPLTD,,,Jai Corp Limited
2002-08-30,3.505000114440918,3.539999961853028,3.180000066757202,3.369999885559082,3.096611976623535,39140,JAICORPLTD,,,Jai Corp Limited
2002-09-02,3.414999961853028,3.5199999809265137,3.400000095367432,3.4200000762939453,3.1425561904907227,10880,JAICORPLTD,,,Jai Corp Limited
2002-09-03,3.400000095367432,3.549999952316284,3.400000095367432,3.549999952316284,3.262009620666504,600,JAICORPLTD,,,Jai Corp Limited
2002-09-04,3.359999895095825,3.5799999237060547,3.359999895095825,3.384999990463257,3.110395193099976,2100,JAICORPLTD,,,Jai Corp Limited
2002-09-05,3.3550000190734863,3.5,3.3550000190734863,3.440000057220459,3.160933256149292,4520,JAICORPLTD,,,Jai Corp Limited
2002-09-06,3.315000057220459,3.525000095367432,3.315000057220459,3.525000095367432,3.2390379905700684,3840,JAICORPLTD,,,Jai Corp Limited
2002-09-09,3.200000047683716,3.5,3.200000047683716,3.494999885559082,3.2114713191986084,5160,JAICORPLTD,,,Jai Corp Limited
2002-09-10,3.494999885559082,3.494999885559082,3.494999885559082,3.494999885559082,3.2114713191986084,0,JAICORPLTD,,,Jai Corp Limited
2002-09-11,3.575000047683716,3.575000047683716,3.365000009536743,3.559999942779541,3.2711987495422363,1000,JAICORPLTD,,,Jai Corp Limited
2002-09-12,3.575000047683716,3.575000047683716,3.299999952316284,3.359999895095825,3.087423324584961,6120,JAICORPLTD,,,Jai Corp Limited
2002-09-13,3.595000028610229,3.595000028610229,3.5,3.5350000858306885,3.2482266426086426,13820,JAICORPLTD,,,Jai Corp Limited
2002-09-16,3.740000009536743,3.740000009536743,3.509999990463257,3.515000104904175,3.229848623275757,2000,JAICORPLTD,,,Jai Corp Limited
2002-09-17,3.7200000286102295,3.7200000286102295,3.424999952316284,3.674999952316284,3.376869440078736,2000,JAICORPLTD,,,Jai Corp Limited
2002-09-18,3.470000028610229,3.650000095367432,3.470000028610229,3.565000057220459,3.275792598724365,1840,JAICORPLTD,,,Jai Corp Limited
2002-09-19,3.375,3.414999961853028,3.375,3.4049999713897705,3.128772735595703,700,JAICORPLTD,,,Jai Corp Limited
2002-09-20,3.275000095367432,3.3499999046325684,3.275000095367432,3.3499999046325684,3.078234434127808,720,JAICORPLTD,,,Jai Corp Limited
2002-09-23,3.299999952316284,3.650000095367432,3.299999952316284,3.575000047683716,3.2849814891815186,1960,JAICORPLTD,,,Jai Corp Limited
2002-09-24,3.680000066757202,3.7200000286102295,3.5999999046325684,3.700000047683716,3.399841070175171,5720,JAICORPLTD,,,Jai Corp Limited
2002-09-25,3.525000095367432,3.525000095367432,3.450000047683716,3.450000047683716,3.170121669769287,400,JAICORPLTD,,,Jai Corp Limited
2002-09-26,3.595000028610229,3.595000028610229,3.2049999237060547,3.4100000858306885,3.133366823196411,1000,JAICORPLTD,,,Jai Corp Limited
2002-09-27,3.115000009536743,3.694999933242798,3.115000009536743,3.634999990463257,3.34011459350586,7680,JAICORPLTD,,,Jai Corp Limited
2002-09-30,3.4100000858306885,3.549999952316284,3.4100000858306885,3.539999961853028,3.252821207046509,5800,JAICORPLTD,,,Jai Corp Limited
2002-10-01,3.5,3.680000066757202,3.5,3.6549999713897705,3.3584916591644287,6640,JAICORPLTD,,,Jai Corp Limited
2002-10-02,3.6549999713897705,3.6549999713897705,3.6549999713897705,3.6549999713897705,3.3584916591644287,0,JAICORPLTD,,,Jai Corp Limited
2002-10-03,3.515000104904175,3.515000104904175,3.509999990463257,3.509999990463257,3.225254774093628,380,JAICORPLTD,,,Jai Corp Limited
2002-10-04,3.625,3.625,3.375,3.375,3.1012063026428223,2160,JAICORPLTD,,,Jai Corp Limited
2002-10-07,3.5,3.5999999046325684,3.470000028610229,3.5999999046325684,3.307953119277954,5440,JAICORPLTD,,,Jai Corp Limited
2002-10-08,3.650000095367432,3.650000095367432,3.5,3.509999990463257,3.225254774093628,2800,JAICORPLTD,,,Jai Corp Limited
2002-10-09,3.509999990463257,3.509999990463257,3.509999990463257,3.509999990463257,3.225254774093628,0,JAICORPLTD,,,Jai Corp Limited
2002-10-10,3.509999990463257,3.509999990463257,3.509999990463257,3.509999990463257,3.225254774093628,0,JAICORPLTD,,,Jai Corp Limited
2002-10-11,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.5999999046325684,3.307953119277954,0,JAICORPLTD,,,Jai Corp Limited
2002-10-14,3.4749999046325684,3.4749999046325684,3.4749999046325684,3.4749999046325684,3.19309401512146,500,JAICORPLTD,,,Jai Corp Limited
2002-10-15,3.4749999046325684,3.4749999046325684,3.4749999046325684,3.4749999046325684,3.19309401512146,0,JAICORPLTD,,,Jai Corp Limited
2002-10-16,3.470000028610229,3.484999895095825,3.470000028610229,3.4800000190734863,3.197688341140747,720,JAICORPLTD,,,Jai Corp Limited
2002-10-17,3.4800000190734863,3.4800000190734863,3.4800000190734863,3.4800000190734863,3.197688341140747,0,JAICORPLTD,,,Jai Corp Limited
2002-10-18,3.484999895095825,3.484999895095825,3.4200000762939453,3.4200000762939453,3.1425561904907227,2700,JAICORPLTD,,,Jai Corp Limited
2002-10-21,3.0999999046325684,3.325000047683716,3.0999999046325684,3.325000047683716,3.055262565612793,960,JAICORPLTD,,,Jai Corp Limited
2002-10-22,3.109999895095825,3.615000009536743,3.109999895095825,3.259999990463257,2.995535373687744,720,JAICORPLTD,,,Jai Corp Limited
2002-10-23,3.3499999046325684,3.3499999046325684,3.299999952316284,3.299999952316284,3.032290458679199,1000,JAICORPLTD,,,Jai Corp Limited
2002-10-24,3.325000047683716,3.575000047683716,3.2300000190734863,3.444999933242798,3.16552734375,3480,JAICORPLTD,,,Jai Corp Limited
2002-10-25,3.299999952316284,3.305000066757202,3.299999952316284,3.305000066757202,3.036885023117065,1500,JAICORPLTD,,,Jai Corp Limited
2002-10-28,3.305000066757202,3.305000066757202,3.305000066757202,3.305000066757202,3.036885023117065,0,JAICORPLTD,,,Jai Corp Limited
2002-10-29,3.2300000190734863,3.484999895095825,3.1549999713897705,3.259999990463257,2.995535373687744,4320,JAICORPLTD,,,Jai Corp Limited
2002-10-30,3.299999952316284,3.299999952316284,3.299999952316284,3.299999952316284,3.032290458679199,240,JAICORPLTD,,,Jai Corp Limited
2002-10-31,3.400000095367432,3.5,3.400000095367432,3.424999952316284,3.147150039672852,7540,JAICORPLTD,,,Jai Corp Limited
2002-11-01,3.240000009536743,3.3350000381469727,3.240000009536743,3.3299999237060547,3.059856414794922,3360,JAICORPLTD,,,Jai Corp Limited
2002-11-04,3.3299999237060547,3.3299999237060547,3.3299999237060547,3.3299999237060547,3.059856414794922,0,JAICORPLTD,,,Jai Corp Limited
2002-11-05,3.3299999237060547,3.3299999237060547,3.3299999237060547,3.3299999237060547,3.059856414794922,0,JAICORPLTD,,,Jai Corp Limited
2002-11-06,3.3299999237060547,3.3299999237060547,3.3299999237060547,3.3299999237060547,3.059856414794922,0,JAICORPLTD,,,Jai Corp Limited
2002-11-07,3.3299999237060547,3.3299999237060547,3.3299999237060547,3.3299999237060547,3.059856414794922,0,JAICORPLTD,,,Jai Corp Limited
2002-11-08,3.005000114440918,3.660000085830689,3.005000114440918,3.275000095367432,3.009318590164185,1840,JAICORPLTD,,,Jai Corp Limited
2002-11-11,3.3499999046325684,3.424999952316284,3.309999942779541,3.4049999713897705,3.128772735595703,3200,JAICORPLTD,,,Jai Corp Limited
2002-11-12,3.315000057220459,3.484999895095825,3.315000057220459,3.484999895095825,3.202282667160034,540,JAICORPLTD,,,Jai Corp Limited
2002-11-13,3.319999933242798,3.319999933242798,3.200000047683716,3.2249999046325684,2.963374614715576,15500,JAICORPLTD,,,Jai Corp Limited
2002-11-14,3.309999942779541,3.309999942779541,3.2799999713897705,3.2799999713897705,3.013912439346313,13160,JAICORPLTD,,,Jai Corp Limited
2002-11-15,3.299999952316284,3.299999952316284,3.164999961853028,3.164999961853028,2.9082422256469727,32940,JAICORPLTD,,,Jai Corp Limited
2002-11-18,3.299999952316284,3.4749999046325684,3.299999952316284,3.4749999046325684,3.19309401512146,1000,JAICORPLTD,,,Jai Corp Limited
2002-11-19,3.4749999046325684,3.4749999046325684,3.4749999046325684,3.4749999046325684,3.19309401512146,0,JAICORPLTD,,,Jai Corp Limited
2002-11-20,3.400000095367432,3.400000095367432,3.255000114440918,3.325000047683716,3.055262565612793,8600,JAICORPLTD,,,Jai Corp Limited
