Date,Open,High,Low,Close,Adj Close,Volume,Stocks_Name,Dividends,Stock splits,Company_Name
2002-07-01,163.5,165.5,161.5,164.0,114.32879638671876,3334232,MASTEK,,,Mastek Limited
2002-07-02,161.5,162.5,158.5,160.5,111.88880157470705,3736040,MASTEK,,,Mastek Limited
2002-07-03,158.5,173.5,158.5,172.0,119.90579986572266,8455624,MASTEK,,,Mastek Limited
2002-07-04,173.5,174.5,167.5,168.5,117.46582794189452,7633492,MASTEK,,,Mastek Limited
2002-07-05,169.5,183.5,169.0,182.0,126.8770751953125,16311860,MASTEK,,,Mastek Limited
2002-07-08,187.0,193.0,183.0,190.0,132.45399475097656,14394784,MASTEK,,,Mastek Limited
2002-07-09,187.0,191.0,182.0,183.5,127.9227066040039,10068416,MASTEK,,,Mastek Limited
2002-07-10,186.0,191.0,183.5,187.0,130.3626708984375,14230072,MASTEK,,,Mastek Limited
2002-07-11,184.5,186.0,168.5,173.0,120.60289764404295,17131800,MASTEK,,,Mastek Limited
2002-07-12,182.0,188.5,177.5,184.5,128.61984252929688,18326984,MASTEK,,,Mastek Limited
2002-07-15,186.0,186.0,175.0,178.0,124.0885009765625,11700556,MASTEK,,,Mastek Limited
2002-07-16,178.5,179.0,171.5,174.5,121.6485824584961,12064628,MASTEK,,,Mastek Limited
2002-07-17,173.0,182.5,170.5,178.0,124.0885009765625,12187800,MASTEK,,,Mastek Limited
2002-07-18,182.5,186.5,180.5,185.5,129.3169708251953,10429272,MASTEK,,,Mastek Limited
2002-07-19,182.5,183.5,170.0,173.5,120.95145416259766,10935064,MASTEK,,,Mastek Limited
2002-07-22,168.5,177.5,166.5,173.0,120.60289764404295,18073156,MASTEK,,,Mastek Limited
2002-07-23,172.0,187.5,169.5,186.0,129.66554260253906,23404788,MASTEK,,,Mastek Limited
2002-07-24,180.0,183.0,174.5,177.5,123.73997497558594,17148420,MASTEK,,,Mastek Limited
2002-07-25,184.5,192.0,180.5,186.5,130.0140838623047,24045708,MASTEK,,,Mastek Limited
2002-07-26,177.5,183.5,175.0,179.0,124.78565979003906,16045348,MASTEK,,,Mastek Limited
2002-07-29,177.5,183.5,175.5,181.5,126.5284423828125,15039216,MASTEK,,,Mastek Limited
2002-07-30,185.5,188.0,173.0,176.0,122.69429779052734,16598920,MASTEK,,,Mastek Limited
2002-07-31,174.5,185.0,145.0,174.5,121.6485824584961,38187160,MASTEK,,,Mastek Limited
2002-08-01,179.0,182.0,166.5,174.0,121.29999542236328,24704936,MASTEK,,,Mastek Limited
2002-08-02,168.5,181.0,162.0,173.0,120.60289764404295,23493364,MASTEK,,,Mastek Limited
2002-08-05,176.0,182.0,172.0,179.0,124.78565979003906,20725352,MASTEK,,,Mastek Limited
2002-08-06,173.0,183.0,171.0,181.0,126.17985534667967,20323772,MASTEK,,,Mastek Limited
2002-08-07,186.0,186.0,176.0,178.5,124.43714141845705,23156140,MASTEK,,,Mastek Limited
2002-08-08,178.5,179.5,171.0,173.0,120.60289764404295,16075340,MASTEK,,,Mastek Limited
2002-08-09,176.5,181.5,174.0,180.0,125.48275756835938,15388448,MASTEK,,,Mastek Limited
2002-08-12,177.5,182.5,176.0,181.0,126.17985534667967,12032560,MASTEK,,,Mastek Limited
2002-08-13,180.0,188.5,179.5,187.5,130.71121215820312,13996720,MASTEK,,,Mastek Limited
2002-08-14,184.5,188.0,182.5,186.0,129.66554260253906,16446348,MASTEK,,,Mastek Limited
2002-08-15,186.0,186.0,186.0,186.0,129.66554260253906,0,MASTEK,,,Mastek Limited
2002-08-16,187.5,188.5,184.0,186.0,129.66554260253906,10419084,MASTEK,,,Mastek Limited
2002-08-19,186.0,187.0,183.5,185.0,128.96839904785156,7771092,MASTEK,,,Mastek Limited
2002-08-20,187.0,194.0,185.5,192.5,134.19686889648438,15519020,MASTEK,,,Mastek Limited
2002-08-21,188.0,193.5,187.5,190.5,132.8026123046875,15838040,MASTEK,,,Mastek Limited
2002-08-22,190.5,192.0,182.5,184.0,128.27130126953125,11978200,MASTEK,,,Mastek Limited
2002-08-23,184.5,209.0,184.0,205.5,143.25950622558594,58642920,MASTEK,,,Mastek Limited
2002-08-26,202.5,203.5,190.0,193.0,134.54544067382812,24429516,MASTEK,,,Mastek Limited
2002-08-27,193.0,197.0,185.0,187.0,130.3626708984375,21222312,MASTEK,,,Mastek Limited
2002-08-28,184.5,191.0,184.5,187.5,130.71121215820312,21087092,MASTEK,,,Mastek Limited
2002-08-29,187.5,193.0,186.0,190.0,132.45399475097656,19465708,MASTEK,,,Mastek Limited
2002-08-30,192.5,207.5,192.5,205.0,142.91094970703125,34428040,MASTEK,,,Mastek Limited
2002-09-02,209.0,219.0,206.5,216.5,150.92788696289062,27393272,MASTEK,,,Mastek Limited
2002-09-03,212.5,214.0,207.5,210.5,146.74513244628906,16736712,MASTEK,,,Mastek Limited
2002-09-04,206.0,219.5,204.5,214.5,149.53366088867188,34410656,MASTEK,,,Mastek Limited
2002-09-05,213.5,216.5,209.5,212.0,147.79083251953125,25078180,MASTEK,,,Mastek Limited
2002-09-06,208.0,215.0,205.5,211.0,147.09371948242188,37903588,MASTEK,,,Mastek Limited
2002-09-09,211.0,217.5,210.0,214.5,149.53366088867188,13429172,MASTEK,,,Mastek Limited
2002-09-10,214.5,214.5,214.5,214.5,149.53366088867188,0,MASTEK,,,Mastek Limited
2002-09-11,216.5,226.0,216.5,224.0,156.1562957763672,15246524,MASTEK,,,Mastek Limited
2002-09-12,231.0,231.0,222.5,224.5,157.56004333496094,14203788,MASTEK,,,Mastek Limited
2002-09-13,221.0,221.5,211.5,215.0,150.89266967773438,11038820,MASTEK,,,Mastek Limited
2002-09-16,215.0,216.0,207.0,210.0,147.38351440429688,10085580,MASTEK,,,Mastek Limited
2002-09-17,210.5,219.0,210.5,216.5,151.94541931152344,13395368,MASTEK,,,Mastek Limited
2002-09-18,215.0,216.0,209.0,210.5,147.7344512939453,12923052,MASTEK,,,Mastek Limited
2002-09-19,212.0,212.5,204.5,207.0,145.27804565429688,16548084,MASTEK,,,Mastek Limited
2002-09-20,200.5,206.5,198.0,205.0,143.87440490722656,17892616,MASTEK,,,Mastek Limited
2002-09-23,197.5,209.5,197.5,203.5,142.8216552734375,12261552,MASTEK,,,Mastek Limited
2002-09-24,199.0,201.0,195.5,199.0,139.66342163085938,11548944,MASTEK,,,Mastek Limited
2002-09-25,196.0,206.0,195.5,203.5,142.8216552734375,14267180,MASTEK,,,Mastek Limited
2002-09-26,208.0,210.5,207.5,208.5,146.33082580566406,10850136,MASTEK,,,Mastek Limited
2002-09-27,209.0,213.0,209.0,210.5,147.7344512939453,9441764,MASTEK,,,Mastek Limited
2002-09-30,209.0,209.5,198.5,202.5,142.11985778808594,7734732,MASTEK,,,Mastek Limited
2002-10-01,199.0,203.5,188.0,189.5,132.99609375,29929300,MASTEK,,,Mastek Limited
2002-10-02,189.5,189.5,189.5,189.5,132.99609375,0,MASTEK,,,Mastek Limited
