Date,Open,High,Low,Close,Adj Close,Volume,Stocks_Name,Dividends,Stock splits,Company_Name
2021-10-27,552.0999755859375,574.2999877929688,547.0,552.0,550.6656494140625,5715,MEDICAMEQ,,,Medicamen Biotech Limited
2021-10-28,552.5,552.5,540.2000122070312,550.5499877929688,549.2191772460938,1202,MEDICAMEQ,,,Medicamen Biotech Limited
2021-10-29,539.5499877929688,570.0499877929688,539.5499877929688,563.9500122070312,562.5867919921875,3891,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-01,540.0,574.8499755859375,540.0,561.7000122070312,560.3422241210938,3197,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-02,568.0499877929688,628.0,555.2000122070312,592.4500122070312,591.0178833007812,15526,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-03,603.9500122070312,619.0,585.0499877929688,602.5499877929688,601.0934448242188,7076,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-04,685.0,714.8499755859375,630.1500244140625,698.7000122070312,697.0111083984375,114111,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-08,697.0,738.0,654.0499877929688,690.5999755859375,688.9306640625,53490,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-09,680.0,696.3499755859375,655.25,660.7000122070312,659.1029052734375,7441,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-10,674.0,688.7000122070312,649.0,664.3499755859375,662.7440795898438,13894,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-11,655.0499877929688,695.0,640.5499877929688,649.8499755859375,648.2791137695312,6671,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-12,675.0,684.9000244140625,610.7000122070312,640.2999877929688,638.7522583007812,10343,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-15,675.0,675.0,621.3499755859375,634.4500122070312,632.9164428710938,4501,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-16,659.9000244140625,659.9000244140625,606.9500122070312,650.1500244140625,648.5784301757812,8752,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-17,650.0499877929688,668.9500122070312,630.9500122070312,651.5499877929688,649.9750366210938,7863,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-18,651.5999755859375,659.7999877929688,612.4000244140625,622.5,620.9952392578125,6097,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-22,664.0,664.0,541.5999755859375,582.4000244140625,580.9922485351562,14346,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-23,590.0,607.7000122070312,576.0,594.5499877929688,593.1128540039062,4251,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-24,589.9500122070312,607.0,589.9500122070312,597.0499877929688,595.6067504882812,2426,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-25,614.0,625.0,595.0,617.8499755859375,616.3565063476562,6026,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-26,600.0499877929688,625.9500122070312,596.4500122070312,599.0,597.5521240234375,2909,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-29,599.0,609.75,577.9000244140625,590.0999755859375,588.673583984375,5081,MEDICAMEQ,,,Medicamen Biotech Limited
2021-11-30,595.2999877929688,610.9000244140625,576.2000122070312,585.8499755859375,584.433837890625,4168,MEDICAMEQ,,,Medicamen Biotech Limited
2021-12-01,597.5999755859375,625.0,581.0999755859375,594.4000244140625,592.9631958007812,7189,MEDICAMEQ,,,Medicamen Biotech Limited
