Date,Open,High,Low,Close,Adj Close,Volume,Stocks_Name,Dividends,Stock splits,Company_Name
2016-01-27,520.0,544.0,520.0,535.2000122070312,481.2939147949219,2718,OCCL,,,Oriental Carbon & Chemicals Limited
2016-01-28,538.9500122070312,538.9500122070312,520.0,520.0,467.6247863769531,30,OCCL,,,Oriental Carbon & Chemicals Limited
2016-01-29,555.0,555.0,480.0,510.1499938964844,458.7669372558594,485,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-01,501.0,544.0,501.0,539.5999755859375,485.2506713867188,400,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-02,544.0,544.0,508.5,532.9000244140625,479.2254943847656,174,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-03,543.0,543.0,530.0,537.5,483.3621215820313,2512,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-04,544.0,544.0,539.9500122070312,539.9500122070312,485.5653991699219,30,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-05,539.9500122070312,539.9500122070312,539.9500122070312,539.9500122070312,485.5653991699219,0,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-08,500.0,554.0,451.5499877929688,526.4500122070312,473.4250793457031,3247,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-09,545.0,545.0,514.25,528.1500244140625,474.9539184570313,1086,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-10,505.0,518.0,495.25,512.2000122070312,460.6104431152344,6638,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-11,490.2000122070313,514.9500122070312,434.5499877929688,477.0499877929688,429.0007629394531,6481,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-12,504.0,504.0,451.0,465.0,418.1645202636719,284,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-15,465.1000061035156,520.0,411.0,463.0,416.3659362792969,2474,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-16,451.0,451.0,440.0,440.0,395.6825256347656,91,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-17,440.0,440.0,440.0,440.0,395.6825256347656,0,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-18,459.0,486.8999938964844,423.0,429.2000122070313,385.9703369140625,11917,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-19,430.0,450.0,419.0,426.8999938964844,383.9019470214844,458,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-22,421.0,430.0,415.0,426.25,383.3175048828125,294,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-23,422.0,422.0,409.0,409.1000061035156,367.8948059082031,395,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-24,412.5,412.5,390.6000061035156,395.5499877929688,355.7096252441406,1538,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-25,400.0,427.0,393.0,400.0,359.71142578125,955,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-26,397.0,400.0,374.8999938964844,400.0,359.71142578125,1671,OCCL,,,Oriental Carbon & Chemicals Limited
2016-02-29,406.0,417.9500122070313,395.0,395.0,355.2149658203125,315,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-01,430.6000061035156,430.6000061035156,393.5,398.3999938964844,358.2724914550781,1479,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-02,400.0,420.0,391.5,396.0,356.1142272949219,3860,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-03,400.0,415.8500061035156,395.0,402.0,361.5099792480469,5468,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-04,401.0,426.0,400.0,412.0,370.5027770996094,1414,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-08,413.0,440.0499877929688,410.0,437.2999877929688,393.2544860839844,2303,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-09,420.1000061035156,425.0,410.0,425.0,382.193359375,502,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-10,428.0,445.0,420.0,439.2000122070313,394.9630737304688,2815,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-11,444.0,444.0,432.0,443.2000122070313,398.5602111816406,2345,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-14,444.0,446.5,440.0,441.0,396.5817565917969,356,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-15,440.0,440.0,423.0,425.6000061035156,382.7329406738281,218,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-16,430.0,447.0,420.0,446.5,401.5277404785156,1720,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-17,443.0,453.0,427.0,449.0,403.7759704589844,1683,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-18,459.0,470.8999938964844,459.0,469.9500122070313,422.6159362792969,1043,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-21,475.0,489.0,475.0,484.6000061035156,435.7903747558594,117,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-22,515.0,581.0,469.9500122070313,482.6499938964844,434.0367736816406,8122,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-23,474.0,499.0,465.2999877929688,492.2999877929688,442.71484375,1621,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-28,496.0,496.0,490.0,496.0,446.04205322265625,376,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-29,525.0,525.0,482.0,494.6499938964844,444.8280944824219,1085,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-30,504.9500122070313,519.7999877929688,494.0,505.1499938964844,454.2705383300781,1343,OCCL,,,Oriental Carbon & Chemicals Limited
2016-03-31,509.0,510.0,490.0,506.75,455.70941162109375,1603,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-01,500.0,503.1000061035156,489.0,502.6000061035156,451.9773864746094,214,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-04,544.0,544.0,504.25,509.7000122070313,458.36224365234375,3294,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-05,493.0,509.8999938964844,490.0,507.25,456.1589660644531,1103,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-06,509.5,520.0,509.5,518.7999877929688,466.5456848144531,919,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-07,547.0,547.0,503.0,516.0499877929688,464.0726318359375,1644,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-08,505.0,522.0,505.0,517.25,465.1518249511719,1089,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-11,515.0499877929688,515.0499877929688,475.2000122070313,486.1000061035156,437.1392517089844,1393,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-12,486.1000061035156,499.0,480.0,490.25,440.8712768554688,1653,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-13,499.0,500.0,469.8999938964844,492.1000061035156,442.5349731445313,2263,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-18,510.0,510.0,493.0,498.5499877929688,448.335205078125,1102,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-20,500.0,507.9500122070313,493.0,502.0499877929688,451.4827270507813,6388,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-21,496.0,504.9500122070313,481.0,488.3500061035156,439.1626586914063,1888,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-22,490.0,490.0,483.1000061035156,489.0,439.7471008300781,423,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-25,498.0,498.0,481.0,481.5,433.0026245117188,910,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-26,495.0,495.0,473.0,478.5499877929688,430.3497009277344,2936,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-27,482.0,482.0,471.0,478.6499938964844,430.4396057128906,1187,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-28,475.0,475.0,460.0,462.4500122070313,415.8713684082031,1438,OCCL,,,Oriental Carbon & Chemicals Limited
2016-04-29,465.0,480.0,465.0,479.75,431.4288940429688,2130,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-02,479.9500122070313,480.0,477.0,479.75,431.4288940429688,4755,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-03,480.0,480.0,471.0,475.3999938964844,427.51702880859375,2772,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-04,468.0,478.8999938964844,451.0,475.25,427.3821411132813,3465,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-05,470.0,478.7999877929688,470.0,476.9500122070313,428.9108581542969,220,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-06,468.0,475.0,462.0,472.5,424.9090576171875,2170,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-09,475.0,479.0,469.2000122070313,477.0,428.9558410644531,923,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-10,470.0,471.0,465.6000061035156,470.0,422.6608581542969,3475,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-11,469.9500122070313,485.8999938964844,465.0,475.7999877929688,427.8767395019531,1430,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-12,480.0,498.8500061035156,452.0,491.2999877929688,441.81549072265625,4360,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-13,490.0,509.7999877929688,479.0,499.7999877929688,449.4593811035156,3032,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-16,490.0,501.5,490.0,490.7000122070313,441.2759399414063,1653,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-17,485.0,489.9500122070313,469.8999938964844,477.0499877929688,429.0007629394531,1290,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-18,504.0,504.0,470.0,480.0,431.6536865234375,1772,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-19,480.0,490.0,479.9500122070313,484.8999938964844,436.0600891113281,2524,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-20,494.9500122070313,494.9500122070313,471.0,472.1499938964844,424.5943908691406,705,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-23,473.0499877929688,480.0,463.0499877929688,466.4500122070313,419.4684448242188,2703,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-24,468.0,468.0,443.8500061035156,450.75,405.3497619628906,3838,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-25,459.5,486.0,455.5,458.3500061035156,412.1842651367188,866,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-26,457.0,480.0,448.1499938964844,469.6000061035156,422.3012390136719,1886,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-27,473.9500122070313,473.9500122070313,456.1000061035156,464.75,417.9396362304688,1091,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-30,464.9500122070313,469.8999938964844,456.0,467.8999938964844,420.7723388671875,1802,OCCL,,,Oriental Carbon & Chemicals Limited
2016-05-31,460.0,495.0,425.0499877929688,487.4500122070313,438.3533020019531,14110,OCCL,,,Oriental Carbon & Chemicals Limited
2016-06-01,466.0,500.0,466.0,467.0499877929688,420.0079345703125,2382,OCCL,,,Oriental Carbon & Chemicals Limited
2016-06-02,467.0,467.0,462.0,463.6499938964844,416.950439453125,1079,OCCL,,,Oriental Carbon & Chemicals Limited
2016-06-03,465.0,472.1000061035156,465.0,467.0,419.9630432128906,1105,OCCL,,,Oriental Carbon & Chemicals Limited
2016-06-06,460.0,460.0,453.0,453.25,407.5979309082031,1401,OCCL,,,Oriental Carbon & Chemicals Limited
2016-06-07,451.0499877929688,454.5,448.0,453.0499877929688,407.4180603027344,10636,OCCL,,,Oriental Carbon & Chemicals Limited
2016-06-08,461.9500122070313,523.0,461.9500122070313,502.5499877929688,451.9324035644531,40306,OCCL,,,Oriental Carbon & Chemicals Limited
2016-06-09,506.8999938964844,508.7999877929688,485.0,498.7999877929688,448.5601196289063,6585,OCCL,,,Oriental Carbon & Chemicals Limited
2016-06-10,510.0,527.0,480.0,498.8500061035156,448.6051025390625,8808,OCCL,,,Oriental Carbon & Chemicals Limited
