Date,Open,High,Low,Close,Adj Close,Volume,Stocks_Name,Dividends,Stock splits,Company_Name
2020-12-18,31.100000381469727,31.100000381469727,29.549999237060547,29.549999237060547,29.549999237060547,35804,RVHL,,,Ravinder Heights Limited
2020-12-21,28.100000381469727,28.100000381469727,28.100000381469727,28.100000381469727,28.100000381469727,4377,RVHL,,,Ravinder Heights Limited
2020-12-22,26.700000762939453,26.700000762939453,26.700000762939453,26.700000762939453,26.700000762939453,1705,RVHL,,,Ravinder Heights Limited
2020-12-23,25.39999961853028,25.39999961853028,25.39999961853028,25.39999961853028,25.39999961853028,3213,RVHL,,,Ravinder Heights Limited
2020-12-24,24.14999961853028,24.14999961853028,24.14999961853028,24.14999961853028,24.14999961853028,3410,RVHL,,,Ravinder Heights Limited
2020-12-28,22.950000762939453,22.950000762939453,22.950000762939453,22.950000762939453,22.950000762939453,1828,RVHL,,,Ravinder Heights Limited
2020-12-29,21.850000381469727,24.049999237060547,21.850000381469727,23.39999961853028,23.39999961853028,182805,RVHL,,,Ravinder Heights Limited
2020-12-30,24.5,24.5,22.25,22.350000381469727,22.350000381469727,135085,RVHL,,,Ravinder Heights Limited
2020-12-31,21.450000762939453,23.25,21.350000381469727,22.39999961853028,22.39999961853028,85816,RVHL,,,Ravinder Heights Limited
2021-01-01,23.5,23.5,23.5,23.5,23.5,69953,RVHL,,,Ravinder Heights Limited
2021-01-04,26.5,28.200000762939453,22.5,26.450000762939453,26.450000762939453,632832,RVHL,,,Ravinder Heights Limited
2021-01-05,26.799999237060547,28.89999961853028,23.549999237060547,27.64999961853028,27.64999961853028,304472,RVHL,,,Ravinder Heights Limited
2021-01-06,27.64999961853028,29.049999237060547,26.25,27.950000762939453,27.950000762939453,188697,RVHL,,,Ravinder Heights Limited
2021-01-07,28.299999237060547,33.5,28.049999237060547,33.5,33.5,557346,RVHL,,,Ravinder Heights Limited
2021-01-08,35.95000076293945,35.95000076293945,30.14999961853028,30.600000381469727,30.600000381469727,431500,RVHL,,,Ravinder Heights Limited
2021-01-11,32.75,32.75,28.200000762939453,29.0,29.0,468995,RVHL,,,Ravinder Heights Limited
2021-01-12,29.0,30.25,26.799999237060547,28.600000381469727,28.600000381469727,229044,RVHL,,,Ravinder Heights Limited
2021-01-13,28.600000381469727,29.700000762939453,27.549999237060547,28.25,28.25,163306,RVHL,,,Ravinder Heights Limited
2021-01-14,28.200000762939453,29.100000381469727,27.75,28.0,28.0,86616,RVHL,,,Ravinder Heights Limited
2021-01-15,27.850000381469727,28.600000381469727,27.0,27.39999961853028,27.39999961853028,30786,RVHL,,,Ravinder Heights Limited
2021-01-18,27.89999961853028,27.89999961853028,25.200000762939453,25.700000762939453,25.700000762939453,69818,RVHL,,,Ravinder Heights Limited
2021-01-19,25.350000381469727,27.89999961853028,25.350000381469727,27.350000381469727,27.350000381469727,112655,RVHL,,,Ravinder Heights Limited
2021-01-20,27.450000762939453,29.049999237060547,25.100000381469727,26.450000762939453,26.450000762939453,189068,RVHL,,,Ravinder Heights Limited
2021-01-21,27.0,27.0,25.450000762939453,25.64999961853028,25.64999961853028,67848,RVHL,,,Ravinder Heights Limited
2021-01-22,25.450000762939453,26.0,24.600000381469727,24.950000762939453,24.950000762939453,58029,RVHL,,,Ravinder Heights Limited
2021-01-25,26.25,26.25,23.100000381469727,23.5,23.5,45946,RVHL,,,Ravinder Heights Limited
2021-01-27,23.89999961853028,23.89999961853028,23.0,23.100000381469727,23.100000381469727,22053,RVHL,,,Ravinder Heights Limited
2021-01-28,23.0,24.25,23.0,24.25,24.25,34358,RVHL,,,Ravinder Heights Limited
2021-01-29,25.450000762939453,25.450000762939453,23.39999961853028,23.700000762939453,23.700000762939453,38791,RVHL,,,Ravinder Heights Limited
2021-02-01,23.700000762939453,24.850000381469727,23.0,23.5,23.5,48625,RVHL,,,Ravinder Heights Limited
