Date,Open,High,Low,Close,Adj Close,Volume,Stocks_Name,Dividends,Stock splits,Company_Name
2017-03-16,22.75,22.75,22.25,22.25,22.25,18000,SANGINITA,,,Sanginita Chemicals Limited
2017-03-17,22.299999237060547,22.299999237060547,22.25,22.299999237060547,22.299999237060547,78000,SANGINITA,,,Sanginita Chemicals Limited
2017-03-20,22.25,22.5,22.100000381469727,22.25,22.25,78000,SANGINITA,,,Sanginita Chemicals Limited
2017-03-21,22.25,22.25,22.25,22.25,22.25,36000,SANGINITA,,,Sanginita Chemicals Limited
2017-03-22,22.25,22.25,22.0,22.0,22.0,552000,SANGINITA,,,Sanginita Chemicals Limited
2017-03-23,22.25,22.299999237060547,22.25,22.299999237060547,22.299999237060547,36000,SANGINITA,,,Sanginita Chemicals Limited
2017-03-24,22.200000762939453,22.299999237060547,22.200000762939453,22.299999237060547,22.299999237060547,198000,SANGINITA,,,Sanginita Chemicals Limited
2017-03-27,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,22.700000762939453,6000,SANGINITA,,,Sanginita Chemicals Limited
2017-03-28,22.25,22.25,22.0,22.0,22.0,204000,SANGINITA,,,Sanginita Chemicals Limited
2017-03-29,22.25,22.450000762939453,22.25,22.450000762939453,22.450000762939453,12000,SANGINITA,,,Sanginita Chemicals Limited
2017-03-30,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,6000,SANGINITA,,,Sanginita Chemicals Limited
2017-03-31,22.5,24.89999961853028,22.5,23.850000381469727,23.850000381469727,114000,SANGINITA,,,Sanginita Chemicals Limited
2017-04-03,24.0,25.0,23.5,24.799999237060547,24.799999237060547,48000,SANGINITA,,,Sanginita Chemicals Limited
2017-04-05,23.549999237060547,24.89999961853028,23.549999237060547,24.89999961853028,24.89999961853028,12000,SANGINITA,,,Sanginita Chemicals Limited
2017-04-06,24.700000762939453,25.0,24.700000762939453,25.0,25.0,36000,SANGINITA,,,Sanginita Chemicals Limited
2017-04-07,26.0,26.0,25.799999237060547,26.0,26.0,102000,SANGINITA,,,Sanginita Chemicals Limited
2017-04-10,25.0,25.39999961853028,25.0,25.200000762939453,25.200000762939453,12000,SANGINITA,,,Sanginita Chemicals Limited
2017-04-11,26.0,26.0,25.299999237060547,25.799999237060547,25.799999237060547,96000,SANGINITA,,,Sanginita Chemicals Limited
2017-04-12,26.0,26.0,26.0,26.0,26.0,18000,SANGINITA,,,Sanginita Chemicals Limited
2017-04-13,27.0,31.200000762939453,27.0,31.200000762939453,31.200000762939453,192000,SANGINITA,,,Sanginita Chemicals Limited
2017-04-17,31.5,34.349998474121094,31.14999961853028,33.0,33.0,48000,SANGINITA,,,Sanginita Chemicals Limited
2017-04-18,31.0,31.0,30.5,30.5,30.5,18000,SANGINITA,,,Sanginita Chemicals Limited
2017-04-19,29.25,29.549999237060547,29.25,29.549999237060547,29.549999237060547,18000,SANGINITA,,,Sanginita Chemicals Limited
2017-04-20,29.549999237060547,29.549999237060547,29.549999237060547,29.549999237060547,29.549999237060547,0,SANGINITA,,,Sanginita Chemicals Limited
2017-04-21,31.5,34.0,31.5,33.5,33.5,66000,SANGINITA,,,Sanginita Chemicals Limited
