Date,Open,High,Low,Close,Adj Close,Volume,Stocks_Name,Dividends,Stock splits,Company_Name
2018-03-27,305.7020874023437,305.7020874023437,290.4591979980469,290.4591979980469,255.555419921875,952,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-03-28,275.9718017578125,275.9718017578125,275.9718017578125,275.9718017578125,242.80894470214844,1134,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-02,262.1954345703125,262.1954345703125,262.1954345703125,262.1954345703125,230.68798828125,1307,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-03,249.0856475830078,249.0856475830078,249.0856475830078,249.0856475830078,219.1536102294922,3124,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-04,236.64247131347656,236.64247131347656,236.64247131347656,236.64247131347656,208.2056884765625,1044,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-05,224.8214569091797,224.8214569091797,224.8214569091797,224.8214569091797,197.80517578125,1202,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-06,213.6226043701172,213.6226043701172,213.6226043701172,213.6226043701172,187.9520721435547,2933,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-09,202.95703125,202.95703125,202.95703125,202.95703125,178.5681610107422,3854,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-10,192.82473754882807,192.82473754882807,192.82473754882807,192.82473754882807,169.6534423828125,1317,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-11,183.2257080078125,183.2257080078125,183.2257080078125,183.2257080078125,161.20790100097656,3709,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-12,174.0710906982422,174.0710906982422,174.0710906982422,174.0710906982422,153.1533660888672,2803,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-13,165.4053192138672,165.4053192138672,165.4053192138672,165.4053192138672,145.52896118164062,3393,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-16,157.13949584960938,157.13949584960938,157.13949584960938,157.13949584960938,138.2564239501953,2334,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-17,151.09567260742188,151.09567260742188,149.3180694580078,149.3180694580078,131.3748779296875,6692,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-18,141.8521728515625,141.8521728515625,141.8521728515625,141.8521728515625,124.80611419677734,5438,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-19,134.78622436523438,141.3188934326172,134.78622436523438,134.78622436523438,118.58927154541016,4946554,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-20,128.07579040527344,137.5859375,128.07579040527344,133.89743041992188,117.80729675292967,1965557,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-23,131.98651123046875,133.3197021484375,128.20912170410156,130.51998901367188,114.83570861816406,604937,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-24,132.29759216308594,132.29759216308594,129.40899658203125,129.80894470214844,114.21009826660156,388987,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-25,130.60887145996094,130.65330505371094,126.83148193359376,127.72027587890624,112.37242889404295,259345,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-26,129.67562866210938,129.67562866210938,126.69815826416016,128.38687133789062,112.95892333984376,340737,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-27,129.053466796875,129.76451110839844,122.74301147460938,124.83168029785156,109.83094787597656,150147,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-04-30,124.5206069946289,131.0532684326172,124.43172454833984,131.0532684326172,115.30489349365234,324387,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-05-02,137.5859375,137.5859375,133.8085479736328,137.45262145996094,120.93526458740234,666352,SUNDARMHLD,,,Sundaram Finance Holdings Limited
2018-05-03,142.2076873779297,142.2076873779297,133.5863494873047,134.6529083251953,118.47200012207033,175675,SUNDARMHLD,,,Sundaram Finance Holdings Limited
