Date,Open,High,Low,Close,Adj Close,Volume,Stocks_Name,Dividends,Stock splits,Company_Name
2006-05-09,161.0833282470703,161.0833282470703,140.06666564941406,148.85000610351562,66.9163818359375,220329,SWELECTES,,,Swelect Energy Systems Limited
2006-05-10,150.03334045410156,163.75,147.0,163.75,73.61474609375,120882,SWELECTES,,,Swelect Energy Systems Limited
2006-05-11,176.3333282470703,176.3333282470703,151.6666717529297,153.3000030517578,68.91688537597656,159801,SWELECTES,,,Swelect Energy Systems Limited
2006-05-12,150.3333282470703,157.64999389648438,149.3333282470703,151.61666870117188,68.16014099121094,26625,SWELECTES,,,Swelect Energy Systems Limited
2006-05-15,153.31666564941406,155.0,146.6999969482422,147.53334045410156,66.32444763183594,27012,SWELECTES,,,Swelect Energy Systems Limited
2006-05-16,143.3333282470703,145.6666717529297,133.38333129882812,139.53334045410156,62.728004455566406,16965,SWELECTES,,,Swelect Energy Systems Limited
2006-05-17,141.6666717529297,149.0,139.53334045410156,144.18333435058594,64.81845092773438,27144,SWELECTES,,,Swelect Energy Systems Limited
2006-05-18,140.0,144.3333282470703,129.78334045410156,130.8000030517578,58.8018913269043,16680,SWELECTES,,,Swelect Energy Systems Limited
2006-05-19,136.6666717529297,136.6666717529297,120.0,121.5500030517578,54.64350128173828,6114,SWELECTES,,,Swelect Energy Systems Limited
2006-05-22,121.66666412353516,123.0,109.5,111.0,49.90068435668945,12306,SWELECTES,,,Swelect Energy Systems Limited
2006-05-23,105.6999969482422,116.5500030517578,105.68333435058594,116.5500030517578,52.39572143554688,6591,SWELECTES,,,Swelect Energy Systems Limited
2006-05-24,116.66666412353516,122.38333129882812,116.66666412353516,119.98332977294922,53.93919372558594,4917,SWELECTES,,,Swelect Energy Systems Limited
2006-05-25,116.66666412353516,120.41666412353516,115.0,117.23332977294922,52.70291519165039,1092,SWELECTES,,,Swelect Energy Systems Limited
2006-05-26,123.0,123.0999984741211,116.66666412353516,117.33333587646484,52.74787139892578,2637,SWELECTES,,,Swelect Energy Systems Limited
2006-05-29,121.33333587646484,123.1999969482422,120.0,122.91666412353516,55.25788879394531,4227,SWELECTES,,,Swelect Energy Systems Limited
2006-05-30,124.66666412353516,129.06666564941406,124.66666412353516,128.86666870117188,57.9327392578125,5223,SWELECTES,,,Swelect Energy Systems Limited
2006-05-31,122.66666412353516,128.28334045410156,122.43333435058594,122.43333435058594,55.04059982299805,3522,SWELECTES,,,Swelect Energy Systems Limited
2006-06-01,122.33333587646484,123.06666564941406,116.31666564941406,116.31666564941406,52.29082107543945,10152,SWELECTES,,,Swelect Energy Systems Limited
2006-06-02,110.66666412353516,114.5,110.5,112.33333587646484,50.500091552734375,3459,SWELECTES,,,Swelect Energy Systems Limited
2006-06-05,107.0,115.98332977294922,106.83333587646484,111.96666717529295,50.33525085449219,7827,SWELECTES,,,Swelect Energy Systems Limited
2006-06-06,112.63333129882812,112.66666412353516,106.4000015258789,107.9499969482422,48.529541015625,13182,SWELECTES,,,Swelect Energy Systems Limited
2006-06-07,104.0,107.33333587646484,102.56666564941406,102.56666564941406,46.10942840576172,1449,SWELECTES,,,Swelect Energy Systems Limited
2006-06-08,100.0,100.0,97.4499969482422,97.4499969482422,43.809207916259766,549,SWELECTES,,,Swelect Energy Systems Limited
2006-06-09,92.58333587646484,97.6500015258789,92.58333587646484,93.36666870117188,41.973514556884766,4512,SWELECTES,,,Swelect Energy Systems Limited
2006-06-12,91.66666412353516,98.3000030517578,91.66666412353516,95.16666412353516,42.782711029052734,2940,SWELECTES,,,Swelect Energy Systems Limited
2006-06-13,91.1999969482422,91.1999969482422,86.0,86.06666564941406,38.69174957275391,4230,SWELECTES,,,Swelect Energy Systems Limited
2006-06-14,86.66666412353516,90.0,81.76666259765625,81.8499984741211,36.79613876342773,5787,SWELECTES,,,Swelect Energy Systems Limited
2006-06-15,81.33333587646484,85.94999694824219,81.33333587646484,85.94999694824219,38.63930892944336,2259,SWELECTES,,,Swelect Energy Systems Limited
2006-06-16,90.25,90.25,90.25,90.25,40.57240295410156,2580,SWELECTES,,,Swelect Energy Systems Limited
2006-06-19,89.33333587646484,94.66666412353516,89.33333587646484,92.75,41.69629287719727,6108,SWELECTES,,,Swelect Energy Systems Limited
2006-06-20,93.66666412353516,97.4000015258789,93.33333587646484,96.6999969482422,43.47202301025391,5172,SWELECTES,,,Swelect Energy Systems Limited
2006-06-21,97.0,101.5500030517578,97.0,101.5500030517578,45.65239334106445,2220,SWELECTES,,,Swelect Energy Systems Limited
2006-06-22,105.0,106.63333129882812,104.6999969482422,106.63333129882812,47.9376220703125,1821,SWELECTES,,,Swelect Energy Systems Limited
2006-06-23,103.33333587646484,109.6500015258789,101.3499984741211,104.93333435058594,47.17338180541992,8754,SWELECTES,,,Swelect Energy Systems Limited
2006-06-26,100.66666412353516,104.66666412353516,97.73332977294922,102.36666870117188,46.0195198059082,16692,SWELECTES,,,Swelect Energy Systems Limited
2006-06-27,100.3000030517578,106.0,97.26666259765624,97.26666259765624,43.726783752441406,6573,SWELECTES,,,Swelect Energy Systems Limited
2006-06-28,96.0,102.11666870117188,96.0,101.8000030517578,45.7647705078125,1893,SWELECTES,,,Swelect Energy Systems Limited
2006-06-29,103.3000030517578,106.33333587646484,103.3000030517578,105.6500015258789,47.495567321777344,3459,SWELECTES,,,Swelect Energy Systems Limited
2006-06-30,108.3000030517578,108.33333587646484,105.0,106.66666412353516,47.95260620117188,2703,SWELECTES,,,Swelect Energy Systems Limited
2006-07-03,107.33333587646484,108.58333587646484,106.66666412353516,108.5,48.77679061889648,1821,SWELECTES,,,Swelect Energy Systems Limited
2006-07-04,108.33333587646484,108.81666564941406,106.5999984741211,106.6500015258789,48.54164123535156,1905,SWELECTES,,,Swelect Energy Systems Limited
2006-07-05,103.33333587646484,107.63333129882812,103.33333587646484,104.51666259765624,47.57064437866211,315,SWELECTES,,,Swelect Energy Systems Limited
2006-07-06,101.66666412353516,101.66666412353516,101.66666412353516,101.66666412353516,46.27347946166992,30,SWELECTES,,,Swelect Energy Systems Limited
2006-07-07,103.33333587646484,106.66666412353516,103.33333587646484,104.3000030517578,47.47203063964844,1371,SWELECTES,,,Swelect Energy Systems Limited
2006-07-10,103.33333587646484,108.58333587646484,103.33333587646484,108.3499984741211,49.31538772583008,2181,SWELECTES,,,Swelect Energy Systems Limited
2006-07-11,105.16666412353516,108.33333587646484,105.16666412353516,107.66666412353516,49.00436782836914,1515,SWELECTES,,,Swelect Energy Systems Limited
2006-07-12,105.1999969482422,109.16666412353516,105.13333129882812,108.8000030517578,49.52021026611328,5193,SWELECTES,,,Swelect Energy Systems Limited
2006-07-13,106.18333435058594,110.0,106.18333435058594,109.4499969482422,49.816043853759766,72,SWELECTES,,,Swelect Energy Systems Limited
2006-07-14,108.33333587646484,109.6500015258789,105.66666412353516,105.66666412353516,48.09407424926758,465,SWELECTES,,,Swelect Energy Systems Limited
2006-07-17,103.66666412353516,106.58333587646484,103.66666412353516,105.21666717529295,47.88924789428711,612,SWELECTES,,,Swelect Energy Systems Limited
2006-07-18,103.68333435058594,104.61666870117188,103.33333587646484,103.33333587646484,47.03205108642578,1974,SWELECTES,,,Swelect Energy Systems Limited
2006-07-19,103.96666717529295,103.96666717529295,98.16666412353516,98.16666412353516,44.68045425415039,1005,SWELECTES,,,Swelect Energy Systems Limited
2006-07-20,100.0,101.26666259765624,100.0,100.06666564941406,45.54524230957031,915,SWELECTES,,,Swelect Energy Systems Limited
2006-07-21,100.0,100.83333587646484,99.33333587646484,99.53333282470705,45.302490234375,1590,SWELECTES,,,Swelect Energy Systems Limited
2006-07-24,100.48332977294922,100.5,96.68333435058594,100.0,45.514892578125,2460,SWELECTES,,,Swelect Energy Systems Limited
2006-07-25,100.0,103.61666870117188,100.0,102.11666870117188,46.47829818725586,2229,SWELECTES,,,Swelect Energy Systems Limited
2006-07-26,100.0,100.0,100.0,100.0,45.514892578125,30,SWELECTES,,,Swelect Energy Systems Limited
2006-07-27,100.0,100.06666564941406,100.0,100.0,45.514892578125,225,SWELECTES,,,Swelect Energy Systems Limited
2006-07-28,100.0,100.0,100.0,100.0,45.514892578125,60,SWELECTES,,,Swelect Energy Systems Limited
2006-07-31,100.01666259765624,100.3499984741211,100.01666259765624,100.3499984741211,45.674198150634766,279,SWELECTES,,,Swelect Energy Systems Limited
2006-08-01,100.33333587646484,102.0,100.0,100.0,45.514892578125,276,SWELECTES,,,Swelect Energy Systems Limited
2006-08-02,97.3499984741211,101.51666259765624,97.3499984741211,100.9499969482422,45.94729232788086,861,SWELECTES,,,Swelect Energy Systems Limited
2006-08-03,101.46666717529295,101.46666717529295,100.66666412353516,100.81666564941406,45.88659286499024,1611,SWELECTES,,,Swelect Energy Systems Limited
2006-08-04,100.03333282470705,100.33333587646484,98.66666412353516,99.56666564941406,45.317665100097656,375,SWELECTES,,,Swelect Energy Systems Limited
2006-08-07,100.0,103.33333587646484,98.53333282470705,100.38333129882812,45.68937301635742,516,SWELECTES,,,Swelect Energy Systems Limited
2006-08-08,101.0,101.16666412353516,100.0,100.78333282470705,45.87143707275391,480,SWELECTES,,,Swelect Energy Systems Limited
2006-08-09,98.78333282470705,102.0,98.78333282470705,101.66666412353516,46.27347946166992,633,SWELECTES,,,Swelect Energy Systems Limited
2006-08-10,103.0,106.16666412353516,103.0,104.8499984741211,47.72236633300781,1125,SWELECTES,,,Swelect Energy Systems Limited
2006-08-11,106.66666412353516,110.96666717529295,106.66666412353516,108.0,49.15608596801758,1761,SWELECTES,,,Swelect Energy Systems Limited
2006-08-14,105.6999969482422,110.63333129882812,105.6999969482422,108.66666412353516,49.45951843261719,831,SWELECTES,,,Swelect Energy Systems Limited
2006-08-16,105.43333435058594,118.33333587646484,105.43333435058594,113.5,51.65939712524414,3099,SWELECTES,,,Swelect Energy Systems Limited
2006-08-17,115.03333282470705,115.03333282470705,107.33333587646484,109.86666870117188,50.00569534301758,1017,SWELECTES,,,Swelect Energy Systems Limited
2006-08-18,109.91666412353516,110.0,107.58333587646484,107.68333435058594,49.0119514465332,51,SWELECTES,,,Swelect Energy Systems Limited
2006-08-21,110.66666412353516,110.66666412353516,108.33333587646484,108.33333587646484,49.30780792236328,1704,SWELECTES,,,Swelect Energy Systems Limited
2006-08-22,108.33333587646484,111.0,108.33333587646484,109.96666717529295,50.051212310791016,393,SWELECTES,,,Swelect Energy Systems Limited
2006-08-23,109.61666870117188,114.96666717529295,106.68333435058594,106.68333435058594,48.55681228637695,1080,SWELECTES,,,Swelect Energy Systems Limited
2006-08-24,109.6999969482422,109.6999969482422,105.0,105.96666717529295,48.23061752319336,402,SWELECTES,,,Swelect Energy Systems Limited
2006-08-25,106.66666412353516,107.33333587646484,105.01666259765624,106.08333587646484,48.283721923828125,690,SWELECTES,,,Swelect Energy Systems Limited
2006-08-28,107.31666564941406,108.3000030517578,101.5999984741211,102.78333282470705,46.7817268371582,1029,SWELECTES,,,Swelect Energy Systems Limited
2006-08-29,105.0,108.0,105.0,107.73332977294922,49.03471755981445,3543,SWELECTES,,,Swelect Energy Systems Limited
2006-08-30,110.0,110.0,105.33333587646484,108.0,49.15608596801758,1977,SWELECTES,,,Swelect Energy Systems Limited
2006-08-31,114.96666717529295,114.96666717529295,106.46666717529295,106.66666412353516,48.549224853515625,801,SWELECTES,,,Swelect Energy Systems Limited
2006-09-01,106.0,106.08333587646484,106.0,106.08333587646484,48.283721923828125,225,SWELECTES,,,Swelect Energy Systems Limited
2006-09-04,106.66666412353516,108.68333435058594,106.66666412353516,108.4499969482422,49.36089706420898,1068,SWELECTES,,,Swelect Energy Systems Limited
2006-09-05,105.08333587646484,109.33333587646484,105.0,108.66666412353516,49.45951843261719,1095,SWELECTES,,,Swelect Energy Systems Limited
2006-09-06,106.66666412353516,109.66666412353516,104.0,106.03333282470705,48.26095581054688,4086,SWELECTES,,,Swelect Energy Systems Limited
2006-09-07,103.0,105.33333587646484,100.33333587646484,101.11666870117188,46.023136138916016,2718,SWELECTES,,,Swelect Energy Systems Limited
2006-09-08,104.98332977294922,105.0,102.0500030517578,103.3000030517578,47.016883850097656,2409,SWELECTES,,,Swelect Energy Systems Limited
2006-09-11,105.0,105.88333129882812,103.68333435058594,104.78333282470705,47.692020416259766,6927,SWELECTES,,,Swelect Energy Systems Limited
2006-09-12,105.88333129882812,105.88333129882812,103.66666412353516,103.66666412353516,47.18377304077149,1560,SWELECTES,,,Swelect Energy Systems Limited
2006-09-13,105.63333129882812,105.63333129882812,102.66666412353516,103.98332977294922,47.32789611816406,12804,SWELECTES,,,Swelect Energy Systems Limited
2006-09-14,105.48332977294922,105.63333129882812,103.03333282470705,103.66666412353516,47.18377304077149,1440,SWELECTES,,,Swelect Energy Systems Limited
2006-09-15,103.66666412353516,104.66666412353516,103.66666412353516,103.66666412353516,47.18377304077149,801,SWELECTES,,,Swelect Energy Systems Limited
2006-09-18,108.96666717529295,114.03333282470705,108.96666717529295,111.98332977294922,50.96909332275391,9567,SWELECTES,,,Swelect Energy Systems Limited
2006-09-19,113.33333587646484,116.66666412353516,107.43333435058594,109.31666564941406,49.75537109375,2778,SWELECTES,,,Swelect Energy Systems Limited
2006-09-20,105.33333587646484,111.66666412353516,105.33333587646484,106.88333129882812,48.6478385925293,8400,SWELECTES,,,Swelect Energy Systems Limited
2006-09-21,108.33333587646484,109.0,106.93333435058594,109.0,49.61123275756836,1317,SWELECTES,,,Swelect Energy Systems Limited
2006-09-22,109.23332977294922,109.23332977294922,105.36666870117188,106.78333282470705,48.602317810058594,375,SWELECTES,,,Swelect Energy Systems Limited
2006-09-25,105.38333129882812,112.66666412353516,100.75,111.53333282470705,50.76427459716797,4260,SWELECTES,,,Swelect Energy Systems Limited
2006-09-26,108.66666412353516,110.6500015258789,107.41666412353516,107.41666412353516,48.89058303833008,930,SWELECTES,,,Swelect Energy Systems Limited
2006-09-27,107.66666412353516,110.33333587646484,107.5,108.71666717529295,49.48228073120117,12756,SWELECTES,,,Swelect Energy Systems Limited
2006-09-28,108.33333587646484,118.0,108.33333587646484,116.53333282470705,53.04002380371094,8559,SWELECTES,,,Swelect Energy Systems Limited
2006-09-29,119.96666717529295,128.0,116.66666412353516,123.23332977294922,56.08952713012695,13206,SWELECTES,,,Swelect Energy Systems Limited
2006-10-03,132.3333282470703,135.5,129.3333282470703,131.06666564941406,59.65485000610352,18519,SWELECTES,,,Swelect Energy Systems Limited
2006-10-04,131.6666717529297,132.98333740234375,127.4000015258789,128.11666870117188,58.31216812133789,5418,SWELECTES,,,Swelect Energy Systems Limited
2006-10-05,131.6666717529297,131.6666717529297,129.5,130.43333435058594,59.36659622192383,3063,SWELECTES,,,Swelect Energy Systems Limited
2006-10-06,131.6666717529297,131.6666717529297,130.0,130.31666564941406,59.31350326538086,2850,SWELECTES,,,Swelect Energy Systems Limited
