Date,Open,High,Low,Close,Adj Close,Volume,Stocks_Name,Dividends,Stock splits,Company_Name
2013-02-20,214.0,215.0,203.3000030517578,203.3000030517578,200.1796875,546941,VMART,,,V-Mart Retail Limited
2013-02-21,193.1499938964844,208.0,193.1499938964844,197.0,193.9763946533203,120568,VMART,,,V-Mart Retail Limited
2013-02-22,190.0,198.0,187.1499938964844,194.8000030517578,191.8101348876953,11524,VMART,,,V-Mart Retail Limited
2013-02-25,193.0,195.0,190.1499938964844,193.0,190.03778076171875,12584,VMART,,,V-Mart Retail Limited
2013-02-26,191.0,193.0,183.3500061035156,183.3999938964844,180.58511352539065,4700,VMART,,,V-Mart Retail Limited
2013-02-27,183.3500061035156,183.3500061035156,174.25,179.3000030517578,176.5480194091797,5548,VMART,,,V-Mart Retail Limited
2013-02-28,174.25,183.0,170.35000610351562,170.35000610351562,167.7354278564453,5989,VMART,,,V-Mart Retail Limited
2013-03-01,162.5,175.0,161.85000610351562,171.75,169.1139373779297,6373,VMART,,,V-Mart Retail Limited
2013-03-04,170.0,179.89999389648438,164.25,173.8000030517578,171.13246154785156,5351,VMART,,,V-Mart Retail Limited
2013-03-05,169.0,175.39999389648438,169.0,170.0,167.39077758789062,8164,VMART,,,V-Mart Retail Limited
2013-03-06,171.0,186.0,171.0,178.14999389648438,175.41566467285156,19245,VMART,,,V-Mart Retail Limited
2013-03-07,178.6999969482422,180.0,176.0,177.0,174.28334045410156,3307,VMART,,,V-Mart Retail Limited
2013-03-08,175.0,177.5,174.25,174.9499969482422,172.26480102539062,3678,VMART,,,V-Mart Retail Limited
2013-03-11,173.0,180.0,173.0,179.5500030517578,176.794189453125,3601,VMART,,,V-Mart Retail Limited
2013-03-12,176.3000030517578,181.8000030517578,176.3000030517578,179.9499969482422,177.1880645751953,12934,VMART,,,V-Mart Retail Limited
2013-03-13,176.35000610351562,180.0,161.0,177.9499969482422,175.21876525878906,2129,VMART,,,V-Mart Retail Limited
2013-03-14,174.10000610351562,185.0,174.10000610351562,179.75,176.99114990234375,17090,VMART,,,V-Mart Retail Limited
2013-03-15,177.5,184.0,171.0,179.3000030517578,176.5480194091797,3700,VMART,,,V-Mart Retail Limited
2013-03-18,184.0,209.0,152.5,180.3999938964844,177.63113403320312,18367,VMART,,,V-Mart Retail Limited
2013-03-19,177.10000610351562,180.0,175.0,176.14999389648438,173.44638061523438,4308,VMART,,,V-Mart Retail Limited
2013-03-20,175.10000610351562,178.0,170.0,171.10000610351562,168.4739227294922,5060,VMART,,,V-Mart Retail Limited
2013-03-21,171.5,173.0,169.0,169.64999389648438,167.04617309570312,1370,VMART,,,V-Mart Retail Limited
2013-03-22,161.10000610351562,170.0,160.0,166.8000030517578,164.23988342285156,8021,VMART,,,V-Mart Retail Limited
2013-03-25,162.1999969482422,167.6999969482422,158.0,160.39999389648438,157.93812561035156,2099,VMART,,,V-Mart Retail Limited
2013-03-26,151.10000610351562,164.85000610351562,150.0,164.0,161.48287963867188,2640,VMART,,,V-Mart Retail Limited
2013-03-28,160.60000610351562,177.0,157.0,169.1999969482422,166.60304260253906,7187,VMART,,,V-Mart Retail Limited
2013-04-01,165.5,175.0,165.14999389648438,169.0,166.40614318847656,13123,VMART,,,V-Mart Retail Limited
2013-04-02,166.0,180.0,166.0,177.8000030517578,175.07107543945312,8481,VMART,,,V-Mart Retail Limited
2013-04-03,174.0,178.0,174.0,177.85000610351562,175.1203155517578,531,VMART,,,V-Mart Retail Limited
2013-04-04,172.0,177.0,170.0,170.5,167.8831024169922,8468,VMART,,,V-Mart Retail Limited
2013-04-05,170.0,174.0,150.0,167.0,164.4368438720703,449,VMART,,,V-Mart Retail Limited
2013-04-08,179.0,179.0,162.0500030517578,165.14999389648438,162.61524963378906,1880,VMART,,,V-Mart Retail Limited
2013-04-09,163.5500030517578,164.3000030517578,163.5500030517578,164.0500030517578,161.5321044921875,545,VMART,,,V-Mart Retail Limited
2013-04-10,160.0,169.0,157.14999389648438,164.35000610351562,161.8275146484375,695,VMART,,,V-Mart Retail Limited
2013-04-11,160.14999389648438,164.0,160.14999389648438,161.25,158.7750701904297,476,VMART,,,V-Mart Retail Limited
2013-04-12,157.5500030517578,162.5,157.0,158.85000610351562,156.41192626953125,473,VMART,,,V-Mart Retail Limited
