Date,Open,High,Low,Close,Adj Close,Volume,Stocks_Name,Dividends,Stock splits,Company_Name
2010-12-20,101.0,101.0,15.0,19.64999961853028,19.468732833862305,9875059,ZEELEARN,,,Zee Learn Limited
2010-12-21,20.64999961853028,20.64999961853028,18.700000762939453,20.64999961853028,20.45950698852539,817692,ZEELEARN,,,Zee Learn Limited
2010-12-22,21.700000762939453,21.700000762939453,21.700000762939453,21.700000762939453,21.49982452392578,571687,ZEELEARN,,,Zee Learn Limited
2010-12-23,22.799999237060547,22.799999237060547,22.0,22.799999237060547,22.589675903320312,1969630,ZEELEARN,,,Zee Learn Limited
2010-12-24,23.950000762939453,23.950000762939453,23.100000381469727,23.950000762939453,23.729066848754883,1433621,ZEELEARN,,,Zee Learn Limited
2010-12-27,25.14999961853028,25.14999961853028,25.14999961853028,25.14999961853028,24.91799736022949,1009625,ZEELEARN,,,Zee Learn Limited
2010-12-28,26.450000762939453,26.450000762939453,26.450000762939453,26.450000762939453,26.20600318908692,865744,ZEELEARN,,,Zee Learn Limited
2010-12-29,27.799999237060547,27.799999237060547,25.14999961853028,27.799999237060547,27.543550491333008,3023202,ZEELEARN,,,Zee Learn Limited
2010-12-30,29.200000762939453,29.200000762939453,26.450000762939453,26.5,26.255544662475582,1778647,ZEELEARN,,,Zee Learn Limited
2010-12-31,27.39999961853028,27.850000381469727,25.200000762939453,27.5,27.24631690979004,1139990,ZEELEARN,,,Zee Learn Limited
2011-01-03,28.700000762939453,32.29999923706055,28.5,29.600000381469727,29.32694625854492,5444968,ZEELEARN,,,Zee Learn Limited
2011-01-04,30.200000762939453,31.299999237060547,28.200000762939453,29.049999237060547,28.782020568847656,2526893,ZEELEARN,,,Zee Learn Limited
2011-01-05,29.850000381469727,29.89999961853028,27.0,27.350000381469727,27.09770393371582,1951376,ZEELEARN,,,Zee Learn Limited
2011-01-06,27.5,27.700000762939453,25.25,25.600000381469727,25.363845825195312,2451459,ZEELEARN,,,Zee Learn Limited
2011-01-07,25.100000381469727,26.700000762939453,24.39999961853028,24.64999961853028,24.422607421875,2768950,ZEELEARN,,,Zee Learn Limited
2011-01-10,25.25,27.549999237060547,24.75,25.549999237060547,25.31430625915528,2282175,ZEELEARN,,,Zee Learn Limited
2011-01-11,25.950000762939453,27.299999237060547,25.100000381469727,25.5,25.264768600463867,1882873,ZEELEARN,,,Zee Learn Limited
2011-01-12,26.0,26.39999961853028,25.0,25.850000381469727,25.61153984069824,1523678,ZEELEARN,,,Zee Learn Limited
